count,wgs_lng,wgs_lat,time
1.0,120.55757386424179,32.35032671151116,2017-12-26-11-02-03
1.0,120.55757384296805,32.35057670887315,2017-12-26-11-02-03
1.0,120.5578243846111,32.35057710136593,2017-12-26-11-02-03
1.0,120.55807488058264,32.35107748578499,2017-12-26-11-02-03
1.0,120.55281290207013,32.35131876185335,2017-12-26-11-02-03
1.0,120.53676859803552,32.352035783117145,2017-12-26-11-02-03
1.0,120.54454141366963,32.35205288695526,2017-12-26-11-02-03
1.0,120.55807479549549,32.3520774738811,2017-12-26-11-02-03
1.0,120.53777165638571,32.352288097637036,2017-12-26-11-02-03
1.0,120.55531867941654,32.3523230410208,2017-12-26-11-02-03
1.0,120.55607037877266,32.35232427963591,2017-12-26-11-02-03
1.0,120.5580747742232,32.35232747071721,2017-12-26-11-02-03
2.0,120.55832530961162,32.35232785805951,2017-12-26-11-02-03
1.0,120.5387746758082,32.35254038037294,2017-12-26-11-02-03
1.0,120.54830149453996,32.35256040787864,2017-12-26-11-02-03
1.0,120.55632091778368,32.35257468420925,2017-12-26-11-02-03
1.0,120.55657147498832,32.35257508948174,2017-12-26-11-02-03
2.0,120.54855212567894,32.35281088801779,2017-12-26-11-02-03
1.0,120.55657145370701,32.352825086167805,2017-12-26-11-02-03
1.0,120.55682200781604,32.352825488895206,2017-12-26-11-02-03
1.0,120.55732310671677,32.352826286692704,2017-12-26-11-02-03
2.0,120.55757365149555,32.35282668175182,2017-12-26-11-02-03
1.0,120.55832526706926,32.352827851505886,2017-12-26-11-02-03
1.0,120.55581975153818,32.353073859349074,2017-12-26-11-02-03
1.0,120.55757363021982,32.353076678362314,2017-12-26-11-02-03
1.0,120.55832524579779,32.353077848116165,2017-12-26-11-02-03
1.0,120.55732306416226,32.35332627983851,2017-12-26-11-02-03
1.0,120.55807468913208,32.35332745730911,2017-12-26-11-02-03
1.0,120.54479197973151,32.3535533844938,2017-12-26-11-02-03
1.0,120.54504267124024,32.35355389989651,2017-12-26-11-02-03
1.0,120.55531857297198,32.35357302407637,2017-12-26-11-02-03
1.0,120.55857573550803,32.35357822586978,2017-12-26-11-02-03
1.0,120.55857571423735,32.353828222253945,2017-12-26-11-02-03
3.0,120.5588262433448,32.35382860442484,2017-12-26-11-02-03
3.0,120.55481731826025,32.35482216691425,2017-12-26-11-02-03
