count,wgs_lng,wgs_lat,time
1.0,118.47234096546052,31.65002959007732,2017-12-15-15-59-41
1.0,118.48614061193165,31.650069478069515,2017-12-15-15-59-41
1.0,118.49291564151119,31.650089686260444,2017-12-15-15-59-41
1.0,118.49592679444925,31.6500987057978,2017-12-15-15-59-41
1.0,118.47409709937588,31.650284525365826,2017-12-15-15-59-41
1.0,118.48940261725443,31.650329189606566,2017-12-15-15-59-41
1.0,118.49492305493429,31.65034570586382,2017-12-15-15-59-41
1.0,118.47183917153524,31.650528205547566,2017-12-15-15-59-41
1.0,118.47911496412209,31.650548883027437,2017-12-15-15-59-41
2.0,118.48312953097148,31.650560599970476,2017-12-15-15-59-41
1.0,118.47610415928028,31.650790234475107,2017-12-15-15-59-41
1.0,118.48287859227462,31.65080986949954,2017-12-15-15-59-41
2.0,118.49592672622306,31.65084872625916,2017-12-15-15-59-41
1.0,118.49667951243742,31.650850980702355,2017-12-15-15-59-41
2.0,118.47735861195605,31.651043832421998,2017-12-15-15-59-41
2.0,118.48312948524067,31.651060613825056,2017-12-15-15-59-41
1.0,118.48940254883878,31.651079210279566,2017-12-15-15-59-41
3.0,118.48965347633039,31.65107995912462,2017-12-15-15-59-41
1.0,118.4899044040664,31.651080708236783,2017-12-15-15-59-41
1.0,118.49191183292857,31.651086709189848,2017-12-15-15-59-41
1.0,118.49617763237795,31.65109948477331,2017-12-15-15-59-41
1.0,118.49667948970219,31.65110098765916,2017-12-15-15-59-41
1.0,118.49693041809853,31.651101738961827,2017-12-15-15-59-41
1.0,118.47786038620418,31.6512952821724,2017-12-15-15-59-41
1.0,118.4781112862134,31.651296004837775,2017-12-15-15-59-41
1.0,118.47836218715332,31.651296728357252,2017-12-15-15-59-41
1.0,118.48237671683364,31.651308410620274,2017-12-15-15-59-41
2.0,118.48915159879866,31.651328468742246,2017-12-15-15-59-41
1.0,118.48965345352714,31.651329966152083,2017-12-15-15-59-41
1.0,118.48990438126557,31.651330715264166,2017-12-15-15-59-41
1.0,118.49115902309174,31.651334464376287,2017-12-15-15-59-41
1.0,118.49542482254392,31.651347236964426,2017-12-15-15-59-41
1.0,118.49617760963766,31.65134949179855,2017-12-15-15-59-41
1.0,118.49642853838569,31.651350243283787,2017-12-15-15-59-41
1.0,118.49667946696673,31.651350994684222,2017-12-15-15-59-41
1.0,118.47760946422221,31.651544567473337,2017-12-15-15-59-41
1.0,118.47811126330011,31.651546011937388,2017-12-15-15-59-41
1.0,118.48890064902827,31.651577727566405,2017-12-15-15-59-41
1.0,118.48915157599036,31.651578475838107,2017-12-15-15-59-41
1.0,118.48940250322724,31.65157922440289,2017-12-15-15-59-41
1.0,118.48965343072368,31.651579973247774,2017-12-15-15-59-41
1.0,118.49015528643457,31.651581471725883,2017-12-15-15-59-41
1.0,118.49115900030279,31.651584471471462,2017-12-15-15-59-41
1.0,118.49592665799489,31.651598747335086,2017-12-15-15-59-41
1.0,118.49617758689712,31.651599498892004,2017-12-15-15-59-41
1.0,118.47786034037269,31.65179529643999,2017-12-15-15-59-41
1.0,118.4781112403866,31.651796019105195,2017-12-15-15-59-41
1.0,118.48990433566325,31.651830729523564,2017-12-15-15-59-41
1.0,118.49216269384205,31.651837481405185,2017-12-15-15-59-41
1.0,118.49266455262067,31.651838983664273,2017-12-15-15-59-41
1.0,118.49592663525172,31.65184875449682,2017-12-15-15-59-41
1.0,118.49617756415638,31.651849506053654,2017-12-15-15-59-41
1.0,118.49918869481512,31.65185851540907,2017-12-15-15-59-41
1.0,118.47585315257108,31.65203955458981,2017-12-15-15-59-41
1.0,118.47886392304765,31.65204819941136,2017-12-15-15-59-41
1.0,118.48162390877718,31.652056227648174,2017-12-15-15-59-41
1.0,118.48237664821363,31.652058432119336,2017-12-15-15-59-41
1.0,118.48287847793287,31.65205990498938,2017-12-15-15-59-41
1.0,118.48438398223641,31.65206433794771,2017-12-15-15-59-41
1.0,118.49291545933781,31.65208974219761,2017-12-15-15-59-41
1.0,118.49567568346475,31.65209801011126,2017-12-15-15-59-41
1.0,118.48237662533985,31.652308439421994,2017-12-15-15-59-41
1.0,118.48262753986891,31.65230917554314,2017-12-15-15-59-41
1.0,118.48388212220415,31.652312865307792,2017-12-15-15-59-41
1.0,118.49166078986308,31.65233599422481,2017-12-15-15-59-41
1.0,118.491911719019,31.652336745005254,2017-12-15-15-59-41
1.0,118.4921626482824,31.652337495935697,2017-12-15-15-59-41
1.0,118.4926645070707,31.652338998194445,2017-12-15-15-59-41
1.0,118.49291543656513,31.652339749496676,2017-12-15-15-59-41
3.0,118.49592658976472,31.652348769024762,2017-12-15-15-59-41
1.0,118.480620220636,31.65255331258371,2017-12-15-15-59-41
1.0,118.4821256886151,31.652557711311992,2017-12-15-15-59-41
2.0,118.48237660246585,31.65255844679276,2017-12-15-15-59-41
1.0,118.4826275169973,31.652559182913823,2017-12-15-15-59-41
2.0,118.48312934804288,31.65256065702595,2017-12-15-15-59-41
1.0,118.4906570518241,31.652583000231488,2017-12-15-15-59-41
1.0,118.49291541379225,31.652589756863847,2017-12-15-15-59-41
1.0,118.49567563797248,31.65259802477561,2017-12-15-15-59-41
2.0,118.4959265670209,31.652598776390903,2017-12-15-15-59-41
1.0,118.47309334428851,31.652781773848268,2017-12-15-15-59-41
1.0,118.47610397582189,31.652790292095034,2017-12-15-15-59-41
1.0,118.47635486892455,31.652791008434345,2017-12-15-15-59-41
1.0,118.47685665821136,31.652792443922685,2017-12-15-15-59-41
1.0,118.48011838119764,31.65280185947695,2017-12-15-15-59-41
2.0,118.48237657959162,31.652808454231604,2017-12-15-15-59-41
2.0,118.48287840932515,31.65280992710113,2017-12-15-15-59-41
1.0,118.48789683012552,31.65282477417356,2017-12-15-15-59-41
1.0,118.48814775584906,31.652825521142827,2017-12-15-15-59-41
1.0,118.48839868190795,31.652826268457034,2017-12-15-15-59-41
1.0,118.48864960828712,31.652827016103227,2017-12-15-15-59-41
1.0,118.48890053497138,31.652827764068448,2017-12-15-15-59-41
1.0,118.49090795760776,31.65283375771753,2017-12-15-15-59-41
1.0,118.49115888635471,31.652834507969647,2017-12-15-15-59-41
1.0,118.49140981525481,31.65283525841084,2017-12-15-15-59-41
2.0,118.49592654427686,31.652848783825117,2017-12-15-15-59-41
1.0,118.47058459448226,31.653024802776383,2017-12-15-15-59-41
2.0,118.47309332132755,31.65303178135828,2017-12-15-15-59-41
1.0,118.48036926617846,31.653052596886866,2017-12-15-15-59-41
1.0,118.48563849335773,31.653068076611927,2017-12-15-15-59-41
1.0,118.48764588192843,31.65307403506727,2017-12-15-15-59-41
1.0,118.48814773302976,31.65307552864774,2017-12-15-15-59-41
1.0,118.49140979246694,31.65308526591464,2017-12-15-15-59-41
1.0,118.4929153682458,31.653089771802378,2017-12-15-15-59-41
1.0,118.49592652153258,31.653098791327373,2017-12-15-15-59-41
1.0,118.49617745044934,31.653099542883776,2017-12-15-15-59-41
1.0,118.47083543831192,31.653275502928985,2017-12-15-15-59-41
1.0,118.47811110290081,31.653296063542435,2017-12-15-15-59-41
1.0,118.4783620038595,31.653296787061237,2017-12-15-15-59-41
1.0,118.48137288264367,31.65330553136,2017-12-15-15-59-41
3.0,118.488398636274,31.653326283534707,2017-12-15-15-59-41
1.0,118.489904198851,31.653330773936744,2017-12-15-15-59-41
1.0,118.49090791202212,31.653333772793488,2017-12-15-15-59-41
1.0,118.49166069872174,31.65333602410353,2017-12-15-15-59-41
1.0,118.4959264987881,31.653348798897643,2017-12-15-15-59-41
1.0,118.47108628348798,31.653526204355302,2017-12-15-15-59-41
1.0,118.47133715297423,31.653526899328952,2017-12-15-15-59-41
6.0,118.47836198094676,31.653546794705473,2017-12-15-15-59-41
1.0,118.48162377148834,31.65355627248663,2017-12-15-15-59-41
1.0,118.48789676165977,31.653574796892574,2017-12-15-15-59-41
2.0,118.49291532269848,31.65358978701296,2017-12-15-15-59-41
1.0,118.47158800079964,31.653777603199327,2017-12-15-15-59-41
1.0,118.47259149687872,31.65378039940784,2017-12-15-15-59-41
1.0,118.47760925795039,31.6537946344365,2017-12-15-15-59-41
1.0,118.4778601570378,31.6537953562345,2017-12-15-15-59-41
2.0,118.48062010617954,31.65380335046101,2017-12-15-15-59-41
2.0,118.48237648809248,31.65380848466708,2017-12-15-15-59-41
1.0,118.49166065314976,31.6538360394509,2017-12-15-15-59-41
1.0,118.49341715906668,31.65384129760414,2017-12-15-15-59-41
1.0,118.47685654357753,31.654042482146256,2017-12-15-15-59-41
1.0,118.48187463818266,31.654057022138307,2017-12-15-15-59-41
1.0,118.48237646521716,31.654058492445834,2017-12-15-15-59-41
1.0,118.4826273797629,31.654059228566386,2017-12-15-15-59-41
1.0,118.49166063036344,31.65408604722649,2017-12-15-15-59-41
1.0,118.49291527715026,31.65408980249535,2017-12-15-15-59-41
1.0,118.49316620670815,31.654090553894832,2017-12-15-15-59-41
1.0,118.49567550149034,31.654098070401446,2017-12-15-15-59-41
1.0,118.49693014528741,31.65410182775771,2017-12-15-15-59-41
