count,wgs_lng,wgs_lat,time
1.0,114.88478748215118,33.74052710843438,2017-12-26-11-04-20
1.0,114.88503752310633,33.74127702346389,2017-12-26-11-04-20
1.0,114.88503745246439,33.74202681824121,2017-12-26-11-04-20
1.0,114.9050357120898,33.744527177011115,2017-12-26-11-04-20
2.0,114.90403626923597,33.74477747432677,2017-12-26-11-04-20
1.0,114.9042860820365,33.74527725136351,2017-12-26-11-04-20
1.0,114.90428605847734,33.74552718349268,2017-12-26-11-04-20
1.0,114.90453591499853,33.745527093572925,2017-12-26-11-04-20
1.0,114.89203895130244,33.74577812411082,2017-12-26-11-04-20
2.0,114.90103759176691,33.74577802985471,2017-12-26-11-04-20
1.0,114.90153738944653,33.74577791993333,2017-12-26-11-04-20
2.0,114.90428603491793,33.74577711565763,2017-12-26-11-04-20
1.0,114.8970386796453,33.746278374312304,2017-12-26-11-04-20
1.0,114.90378626457365,33.746277151519536,2017-12-26-11-04-20
2.0,114.9042859877984,33.74627698009467,2017-12-26-11-04-20
1.0,114.90428596423827,33.746526912366676,2017-12-26-11-04-20
2.0,114.90453582075753,33.746526822446704,2017-12-26-11-04-20
1.0,114.90003786176666,33.746777945327906,2017-12-26-11-04-20
1.0,114.89278888338448,33.74702791225764,2017-12-26-11-04-20
1.0,114.8990381486638,33.747028019722606,2017-12-26-11-04-20
1.0,114.89128873102521,33.74727756703491,2017-12-26-11-04-20
2.0,114.89578876502323,33.74727810905479,2017-12-26-11-04-20
3.0,114.90453575007427,33.747276619476054,2017-12-26-11-04-20
1.0,114.88628744605367,33.747525887920894,2017-12-26-11-04-20
1.0,114.88878823532397,33.74752682441878,2017-12-26-11-04-20
1.0,114.89078863868255,33.74752738558857,2017-12-26-11-04-20
2.0,114.89653864367001,33.74752804642011,2017-12-26-11-04-20
1.0,114.89703856189114,33.74752803603591,2017-12-26-11-04-20
1.0,114.89753846681727,33.74752801467639,2017-12-26-11-04-20
