count,wgs_lng,wgs_lat,time
1.0,108.19040115730004,34.24103279485253,2017-12-19-10-04-11
1.0,108.18714358433873,34.241527077727675,2017-12-19-10-04-11
1.0,108.19741652503707,34.24154386373255,2017-12-19-10-04-11
1.0,108.18689297595466,34.24177655146821,2017-12-19-10-04-11
2.0,108.18714356405822,34.24177698371228,2017-12-19-10-04-11
1.0,108.18463761149715,34.24202252653804,2017-12-19-10-04-11
1.0,108.18338458472832,34.242270218926535,2017-12-19-10-04-11
1.0,108.18614114378931,34.24252496675415,2017-12-19-10-04-11
1.0,108.18538934197286,34.242773562100446,2017-12-19-10-04-11
1.0,108.19015018042228,34.24603048581608,2017-12-19-10-04-11
1.0,108.19265583440803,34.246034626911474,2017-12-19-10-04-11
2.0,108.18589024669609,34.24627311006739,2017-12-19-10-04-11
2.0,108.19115243861933,34.24628206057035,2017-12-19-10-04-11
1.0,108.20017184372509,34.24629620687296,2017-12-19-10-04-11
1.0,108.20042235140549,34.24629657460957,2017-12-19-10-04-11
1.0,108.18388544518386,34.246519496515965,2017-12-19-10-04-11
1.0,108.206433917524,34.246804743436996,2017-12-19-10-04-11
1.0,108.20668437589578,34.24680507136044,2017-12-19-10-04-11
1.0,108.20718528630492,34.246805722085455,2017-12-19-10-04-11
2.0,108.20793663593372,34.246806685245375,2017-12-19-10-04-11
2.0,108.20818708150802,34.24680700281886,2017-12-19-10-04-11
1.0,108.19967076226337,34.24704518107936,2017-12-19-10-04-11
1.0,108.20618339654071,34.247554127522015,2017-12-19-10-04-11
1.0,108.20868786535183,34.24805715521271,2017-12-19-10-04-11
1.0,108.2069347111539,34.248304824406056,2017-12-19-10-04-11
1.0,108.20918870094158,34.2485575865674,2017-12-19-10-04-11
1.0,108.20768602689003,34.24880560117647,2017-12-19-10-04-11
1.0,108.20793647463186,34.24880592049469,2017-12-19-10-04-11
3.0,108.2044299942421,34.249051199061284,2017-12-19-10-04-11
2.0,108.20367853735102,34.24930006960376,2017-12-19-10-04-11
1.0,108.2069346304794,34.2493044409965,2017-12-19-10-04-11
